Model,MAE,RMSE,R2
Ridge,139694.6322985944,227372.97666236488,0.6524948931022264
Lasso,139842.4753403442,227427.81601835848,0.6523272456122785
Linear Regression,140025.70800815686,227473.85328074504,0.6521864754804401
Gradient Boosting,138029.4515038806,236526.7514536261,0.6239513528352038
Random Forest,142822.5347696656,287641.91574393056,0.4438552502622579
Decision Tree,160987.54569988183,320745.3103225534,0.30848098452910133
